Titel,Beruf,Arbeitgeber,Ort,Region,Land,PLZ,Veröffentlicht am,Eintrittsdatum,URL
Spezialisten (m/w/d) Kapitalanlagen,Data Scientist,Öffentliche Versicherung Braunschweig,Braunschweig,Niedersachsen,Deutschland,38122,2025-05-22,2025-05-22,https://jobs.candooze.com/view/static/bapub/58272
Big Data Scientist / Data Analyst (w/m/d),Mathematiker/in,prognum Automotive GmbH,Stuttgart,Baden-Württemberg,Deutschland,70597,2025-05-05,2025-05-12,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15006-k40180.1055-S
wissenschaftliche/n Mitarbeiter/in (Data Scientist) (m/w/d),Hydrologe/Hydrologin,"Hessisches Landesamt für Naturschutz, Umwelt und Geologie",Wiesbaden,Hessen,Deutschland,65203,2025-05-08,2025-05-08,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001405275-S
Master Data Manager (m/w/d),Data Scientist,Albert Ziegler GmbH,Giengen an der Brenz,Baden-Württemberg,Deutschland,89537,2025-05-15,2025-05-15,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202505077-S
Data Scientist (all genders),Data Scientist,BORA Lüftungstechnik GmbH,Kiefersfelden,Bayern,Deutschland,83088,2025-02-04,2025-04-29,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000975980-S
Data Scientist d/w/m,Informatiker/in,RWE Generation SE,"Essen, Ruhr",Nordrhein-Westfalen,Deutschland,45141,2025-04-24,2025-04-24,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202312593-S
(Senior) Data Scientist mit Schwerpunkt Forecasting (m/w/d),Data Scientist,EDEKA ZENTRALE Stiftung & Co. KG,Hamburg,Hamburg,Deutschland,22297,2025-04-16,2025-05-15,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13334-00005f5a8c0001-S
Data Scientist (m/w/d) mit variablem Anteil,Data-Warehouse-Analyst/in,AMADEUS FIRE AG,Köln,Nordrhein-Westfalen,Deutschland,50667,2025-03-19,2025-03-26,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12862-216625-S
(Senior) Data Scientist - Python (m/w/d),Data Scientist,Oskar Böttcher GmbH & Co. KG,Berlin,Berlin,Deutschland,10713,2025-05-05,2025-05-06,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17869-0055913917-S
Referent Data Governance (m/w/d),Data Scientist,TenneT TSO GmbH,Bayreuth,Bayern,Deutschland,95448,2025-05-11,2025-05-11,https://www.jobware.de/job/055569118?jw_chl_seg=ARBEITSAGENTUR
Clinical Data Manager (m/w/d),Data Scientist,Deutsches Herzzentrum München des Freistaates Bayern,München,Bayern,Deutschland,80636,2025-04-22,2025-05-22,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17378-98501X295675-S
Professur für Data Science (m/w/d),Data Scientist,Duale Hochschule Baden-Württemberg,"Ravensburg, Württemberg",Baden-Württemberg,Deutschland,88212,2025-04-25,2025-05-23,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001375584-S
Data Scientist (m/w/d) [Kziff.CL68AV98],Data Scientist,avivar experts GmbH,Holzwickede,Nordrhein-Westfalen,Deutschland,59439,2025-03-12,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001235983-S
(Senior) Data Scientist Analytics (m/w/d),Data Scientist,REWE Group,Köln,Nordrhein-Westfalen,Deutschland,50933,2024-01-01,2025-05-03,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12608-1062149-28033-1-S
Data Scientist (m/w/d) [Kziff.OK6898],Data Scientist,L&W CONSOLIDATION GmbH,Holzwickede,Nordrhein-Westfalen,Deutschland,59439,2025-01-27,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000213699-S
Data Compliance Technologist (m/w/d),Data Scientist,Deloitte GmbH,Leipzig,Sachsen,Deutschland,04317,2025-02-07,2025-05-26,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15794-464197_47253-1-S
Werkstudent:in Data Science,Data Scientist,nerou GmbH,Köln,Nordrhein-Westfalen,Deutschland,50939,2025-04-24,2025-05-16,https://www.jobexport.de/job/4742205.html?exp=204&cid=1298
Data/BI Specialist (m/w/d),Data Scientist,Hamburger Hafen und Logistik AG,Hamburg,Hamburg,Deutschland,20457,2025-01-28,2025-05-26,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15023-0007530133e001-S
Generalist Data Protection (m/w/d),Data Scientist,Hays AG,Hannover,Niedersachsen,Deutschland,,2025-03-31,2025-03-31,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-814702/1_543224LS-S
Data Scientist (m/w/d) - Data Analytics Expert,Softwareentwickler/in,Ratbacher GmbH,Bielefeld,Nordrhein-Westfalen,Deutschland,33611,2025-03-07,2025-05-04,https://deutschland-stellenmarkt.de/job_show.php?id=bfa$bfa_11112-45419-1675762-0-S
(Junior) Data Scientist (m/f/d) FinTech,Data Scientist,CHECK24,München,Bayern,Deutschland,80636,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fjd62-b
Data Scientist (m/w/d) Technisches Produktmanagement Explorer,Data Scientist,CHECK24,Erfurt,Thüringen,Deutschland,99084,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fjb92-b
Data Scientist für vertrauenswürdige KI,Informatiker/in,Fraunhofer-Gesellschaft e.V. Zentrale München,Sankt Augustin,Nordrhein-Westfalen,Deutschland,53757,2025-05-22,2025-09-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15861-43401112-521-S
Strategic Account Manager / Data Management (m/w/d),Data Scientist,Hays AG,,,Deutschland,,2025-05-22,2025-05-22,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-821612/1_552280LS-S
Claims Data Scientist (m/f/d)*,"Tester/in, Testperson",Münchener Rückversicherungs AG,München,Bayern,Deutschland,80802,2025-05-21,2025-05-21,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001426786-S
Abteilungsleitung (m/w/d) Vertriebscontrolling und -steuerung,Data Scientist,Öffentliche Versicherung Braunschweig,Braunschweig,Niedersachsen,Deutschland,38122,2025-05-23,2025-05-23,https://jobs.candooze.com/view/static/bapub/58306
Junior Algorithm Engineer (m/w/d),Data Scientist,Vodafone GmbH,Berlin,Berlin,Deutschland,10115,2025-05-23,2025-06-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17102-43404140-522-S
Data Scientist Optical Spectroscopy (w/m/d),Forschungs- und Entwicklungsingenieur/in,Analytik Jena GmbH+Co. KG,Jena,Thüringen,Deutschland,07745,2025-05-20,2025-05-20,https://thaff-thueringen.de/Stellenangebote/data-scientist-optical-spectroscopy-w-m-d
Manager Hyperautomation (f/m/d),Data Scientist,Heidelberg Materials AG,"Heidelberg, Neckar",Baden-Württemberg,Deutschland,69120,2025-05-15,2025-05-15,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17645-BB-632048-7878-6672-S
Full-Stack Data Scientist (m/w/d) in Vollzeit,Data Scientist,Bad Apotheke Apotal,Hilter am Teutoburger Wald,Niedersachsen,Deutschland,49176,2025-04-24,2025-04-24,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202308680-S
Zwei Wissenschaftliche Mitarbeiter/-innen,Data Scientist,Statistisches Bundesamt,Wiesbaden,Hessen,Deutschland,65189,2025-05-12,2025-05-12,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001413984-S
Data Governance & Management Specialist (w/m/d),Data Scientist,GEA Group Aktiengesellschaft,"Oelde, Westfalen",Nordrhein-Westfalen,Deutschland,59302,2025-05-09,2025-06-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=18741-398324491-S
Senior Data Scientist – Quantitatives Portfoliomanagement (w/m/d),Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,Deutschland,96450,2025-04-03,2025-04-10,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202125626-S
Data Scientist mit Schwerpunkt Machine Learning (d/m/w),Data Scientist,Haufe Group SE,Freiburg im Breisgau,Baden-Württemberg,Deutschland,79106,2025-05-15,2025-05-15,https://jobs.jobspreader.com/viewjob-8gckk?utm_source=jsba-premium&utm_medium=n-a&utm_campaign=it&utm_term=data-scientist-mit-schwerpunkt-machine-learning-d-m-w
Data Scientist*in Reinforcement Learning,Informatiker/in,Fraunhofer-Gesellschaft e.V. Zentrale München,Sankt Augustin,Nordrhein-Westfalen,Deutschland,53757,2025-05-06,2025-08-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15861-43360429-55-S
Fachleiter Master Data Governance  (m/w/d),Data Scientist,Hays AG,,,Deutschland,,2025-04-28,2025-04-28,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-816988/1_545366LS-S
Werkstudent Data Analytics - Algorithmik (m/w/d),Data Scientist,Rheinmetall AG,Düsseldorf,Nordrhein-Westfalen,Deutschland,40476,2025-03-25,2025-05-21,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15939-BB-630509-7878-1263-S
(Senior) Data Scientist im Consulting,Informatiker/in,viadee Unternehmensberatung AG,Köln,Nordrhein-Westfalen,Deutschland,50668,2024-12-16,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000958505-S
(Junior) Data Scientist / Machine Learning Engineer (m/w/d),Data Scientist,WeMatch.,Köln,Nordrhein-Westfalen,Deutschland,50667,2025-05-27,2025-05-28,https://www.persy.jobs/persy/l/job-fqup3-b
Data Scientist (m/w/d),Berufsspezialist/in - Datenanalyse,Nagel-Group Logistics SE,Versmold,Nordrhein-Westfalen,Deutschland,33775,2025-01-20,2025-03-26,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001049703-S
Applikationsbetreuung (w/m/d) Business Warehouse,Data Scientist,Universitätsklinikum Ulm,,,Deutschland,,2025-04-08,2025-10-01,https://deutschland-stellenmarkt.de/job_show.php?id=bfa$bfa_11112-3762-1683594-0-S
"Junior Data Scientist (m/w/d) Reise, Leipzig",Data Scientist,CHECK24,Leipzig,Sachsen,Deutschland,04105,2025-04-01,2025-05-08,https://www.finest-jobs.com/Stellenanzeige/Junior-Data-Scientist-D-Reise-969324?cp=BA
Data Scientist / Machine Learning Engineer (m/w/d) Mobilfunk,Data Scientist,CHECK24,Köln,Nordrhein-Westfalen,Deutschland,50672,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fj9lc-b
